GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0016192	vesicle-mediated transport	2	93	2.15%	198	6437	3.08%	YAL005C, YDR238C
GO:0008219	cell death	2	93	2.15%	45	6437	0.70%	YJR009C, YNL055C
GO:0007165	signal transduction	2	93	2.15%	351	6437	5.45%	YER124C, YGL008C
GO:0022618	ribonucleoprotein complex assembly	2	93	2.15%	182	6437	2.83%	YDR418W, YLR075W
GO:0051276	chromosome organization	2	93	2.15%	296	6437	4.60%	YBR088C, YBR158W
GO:0044403	biological process involved in symbiotic interaction	2	93	2.15%	2	6437	0.03%	YLR044C, YOL086C
GO:0006259	DNA metabolic process	2	93	2.15%	240	6437	3.73%	YBR088C, YML028W
GO:0006629	lipid metabolic process	2	93	2.15%	346	6437	5.38%	YGL055W, YKL008C
GO:0006605	protein targeting	2	93	2.15%	256	6437	3.98%	YAL005C, YHR005C-A
GO:0007009	plasma membrane organization	2	93	2.15%	9	6437	0.14%	YMR251W-A, YPR149W
GO:0040007	growth	1	93	1.08%	78	6437	1.21%	YMR307W
