GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006520	cellular amino acid metabolic process	5	125	4.00%	220	6437	3.42%	YCL064C, YER091C, YKL001C, YLR180W, YOL086C
GO:0006457	protein folding	5	125	4.00%	120	6437	1.86%	YAL005C, YLL024C, YML028W, YMR186W, YPL240C
GO:0048308	organelle inheritance	5	125	4.00%	56	6437	0.87%	YDR233C, YGL055W, YGR209C, YHL007C, YLR190W
GO:0006605	protein targeting	4	125	3.20%	256	6437	3.98%	YAL005C, YHR136C, YLL024C, YPL240C
GO:0018193	peptidyl-amino acid modification	4	125	3.20%	252	6437	3.91%	YBR009C, YDL064W, YHL007C, YNL030W
GO:0033043	regulation of organelle organization	4	125	3.20%	282	6437	4.38%	YAL003W, YBR158W, YGR254W, YPL240C
GO:0008643	carbohydrate transport	4	125	3.20%	45	6437	0.70%	YDR342C, YDR345C, YHR092C, YMR011W
GO:0006974	cellular response to DNA damage stimulus	4	125	3.20%	226	6437	3.51%	YBL003C, YBR088C, YDR225W, YML028W
GO:0051603	proteolysis involved in cellular protein catabolic process	4	125	3.20%	265	6437	4.12%	YAL005C, YBR158W, YLL024C, YMR022W
GO:0007059	chromosome segregation	4	125	3.20%	222	6437	3.45%	YAR018C, YBR088C, YBR158W, YDL064W
GO:0006970	response to osmotic stress	4	125	3.20%	73	6437	1.13%	YHL007C, YIL053W, YPL061W, YPL240C
GO:0009408	response to heat	4	125	3.20%	66	6437	1.03%	YGR086C, YMR186W, YNL283C, YPL240C
GO:0007033	vacuole organization	4	125	3.20%	111	6437	1.72%	YER072W, YGR209C, YGR254W, YHL007C
GO:0015931	nucleobase-containing compound transport	4	125	3.20%	181	6437	2.81%	YGL123W, YGL189C, YLL024C, YNL055C
GO:0006629	lipid metabolic process	4	125	3.20%	346	6437	5.38%	YDR302W, YGL055W, YJL196C, YMR246W
GO:0048285	organelle fission	4	125	3.20%	272	6437	4.23%	YBR088C, YBR158W, YDL064W, YHL007C
GO:0000746	conjugation	3	125	2.40%	118	6437	1.83%	YER124C, YGR279C, YHL007C
GO:0007010	cytoskeleton organization	3	125	2.40%	275	6437	4.27%	YAL003W, YDL064W, YNL289W
GO:0032200	telomere organization	3	125	2.40%	91	6437	1.41%	YKR095W-A, YMR186W, YPL240C
GO:0048284	organelle fusion	3	125	2.40%	110	6437	1.71%	YER072W, YGR209C, YGR254W
GO:0070647	protein modification by small protein conjugation or removal	3	125	2.40%	222	6437	3.45%	YAL005C, YDL064W, YMR022W
GO:0016570	histone modification	3	125	2.40%	144	6437	2.24%	YBR009C, YHL007C, YNL030W
GO:0070925	organelle assembly	2	125	1.60%	124	6437	1.93%	YGL008C, YHL007C
GO:0045333	cellular respiration	2	125	1.60%	109	6437	1.69%	YJR048W, YJR104C
GO:0006766	vitamin metabolic process	2	125	1.60%	57	6437	0.89%	YBR035C, YBR092C
GO:0051049	regulation of transport	2	125	1.60%	102	6437	1.58%	YNL055C, YPR149W
GO:0001403	invasive growth in response to glucose limitation	2	125	1.60%	54	6437	0.84%	YER124C, YHL007C
GO:0006260	DNA replication	2	125	1.60%	151	6437	2.35%	YBR088C, YER070W
GO:0000910	cytokinesis	2	125	1.60%	105	6437	1.63%	YHL007C, YKR042W
GO:0006873	cellular ion homeostasis	2	125	1.60%	160	6437	2.49%	YGL008C, YJR104C
GO:0006417	regulation of translation	2	125	1.60%	195	6437	3.03%	YAL003W, YGL123W
GO:0006401	RNA catabolic process	2	125	1.60%	166	6437	2.58%	YNL112W, YOL012C
GO:0051052	regulation of DNA metabolic process	2	125	1.60%	96	6437	1.49%	YBR088C, YPL240C
GO:0042255	ribosome assembly	2	125	1.60%	78	6437	1.21%	YCR031C, YGL189C
GO:0007124	pseudohyphal growth	2	125	1.60%	74	6437	1.15%	YHL007C, YHR143W
GO:0008213	protein alkylation	2	125	1.60%	58	6437	0.90%	YBR009C, YNL030W
GO:0042594	response to starvation	1	125	0.80%	81	6437	1.26%	YBR093C
GO:0042274	ribosomal small subunit biogenesis	1	125	0.80%	148	6437	2.30%	YCR031C
GO:0006310	DNA recombination	1	125	0.80%	252	6437	3.91%	YKR095W-A
GO:0006353	DNA-templated transcription, termination	1	125	0.80%	42	6437	0.65%	YNL112W
GO:0006997	nucleus organization	1	125	0.80%	69	6437	1.07%	YDR233C
GO:0048193	Golgi vesicle transport	1	125	0.80%	206	6437	3.20%	YGR209C
GO:0006486	protein glycosylation	1	125	0.80%	78	6437	1.21%	YDL055C
GO:0006897	endocytosis	1	125	0.80%	135	6437	2.10%	YGR086C
GO:0006414	translational elongation	1	125	0.80%	340	6437	5.28%	YAL003W
GO:0008033	tRNA processing	1	125	0.80%	133	6437	2.07%	YKR095W-A
GO:0042273	ribosomal large subunit biogenesis	1	125	0.80%	122	6437	1.90%	YER002W
GO:0007031	peroxisome organization	1	125	0.80%	52	6437	0.81%	YDR233C
GO:0032543	mitochondrial translation	1	125	0.80%	175	6437	2.72%	YMR286W
GO:0007114	cell budding	1	125	0.80%	58	6437	0.90%	YHL007C
GO:0006497	protein lipidation	1	125	0.80%	49	6437	0.76%	YDR302W
GO:0051604	protein maturation	1	125	0.80%	96	6437	1.49%	YPL240C
